document_id,grade,subject,chapter,title,chunk_count,flagged_count,has_pdf_source,avg_overall,avg_completeness,avg_boundary,avg_fidelity,critical_findings,high_findings,medium_findings,low_findings,audited_at
965,Grade 9,Science,Exemplar: Animals - Their Structure and Functions,NCERT Exemplar Grade 9 Science — Animals - Their Structure and Functions,49,0,False,93,100,95,47,0,49,39,0,2026-07-10T06:23:32.783175+00:00
964,Grade 9,Science,Exemplar: Cells - Their Structure and Functions,NCERT Exemplar Grade 9 Science — Cells - Their Structure and Functions,60,0,False,93,100,95,49,0,59,48,0,2026-07-10T06:23:33.265513+00:00
963,Grade 9,Science,Exemplar: Improvement in Food Resources,NCERT Exemplar Grade 9 Science — Improvement in Food Resources,30,0,False,93,100,95,47,0,30,23,0,2026-07-10T06:23:33.522126+00:00
962,Grade 9,Science,Exemplar: Natural Resources,NCERT Exemplar Grade 9 Science — Natural Resources,30,0,False,93,100,94,50,0,29,30,0,2026-07-10T06:23:33.786706+00:00
961,Grade 9,Science,Exemplar: Why Do We Fall Ill,NCERT Exemplar Grade 9 Science — Why Do We Fall Ill,20,0,False,93,99,95,49,0,19,18,0,2026-07-10T06:23:33.977074+00:00
960,Grade 9,Science,Exemplar: Sound,NCERT Exemplar Grade 9 Science — Sound,12,0,False,93,100,94,48,0,12,10,0,2026-07-10T06:23:34.162372+00:00
959,Grade 9,Science,Exemplar: Work and Energy,NCERT Exemplar Grade 9 Science — Work and Energy,18,0,False,93,100,93,51,0,17,19,0,2026-07-10T06:23:34.362037+00:00
958,Grade 9,Science,Exemplar: Gravitation,NCERT Exemplar Grade 9 Science — Gravitation,24,0,False,93,100,95,49,0,24,19,0,2026-07-10T06:23:34.581903+00:00
957,Grade 9,Science,Exemplar: Force and Laws of Motion,NCERT Exemplar Grade 9 Science — Force and Laws of Motion,16,0,False,93,100,94,51,0,15,15,0,2026-07-10T06:23:34.766667+00:00
956,Grade 9,Science,Exemplar: Motion,NCERT Exemplar Grade 9 Science — Motion,17,0,False,93,100,94,50,0,16,17,0,2026-07-10T06:23:34.969893+00:00
955,Grade 9,Science,Exemplar: Diversity in Living Organisms,NCERT Exemplar Grade 9 Science — Diversity in Living Organisms,32,0,False,93,100,95,48,0,32,24,0,2026-07-10T06:23:35.203572+00:00
954,Grade 9,Science,Exemplar: Tissues,NCERT Exemplar Grade 9 Science — Tissues,31,0,False,93,100,94,48,0,31,26,0,2026-07-10T06:23:35.616370+00:00
953,Grade 9,Science,Exemplar: The Fundamental Unit of Life,NCERT Exemplar Grade 9 Science — The Fundamental Unit of Life,33,0,False,93,100,94,49,0,33,30,0,2026-07-10T06:23:35.903406+00:00
952,Grade 9,Science,Exemplar: Structure of the Atom,NCERT Exemplar Grade 9 Science — Structure of the Atom,29,0,False,93,100,95,50,0,29,23,0,2026-07-10T06:23:36.135062+00:00
951,Grade 9,Science,Exemplar: Atoms and Molecules,NCERT Exemplar Grade 9 Science — Atoms and Molecules,29,0,False,93,100,95,50,0,28,22,0,2026-07-10T06:23:36.379651+00:00
950,Grade 9,Science,Exemplar: Is Matter Around Us Pure,NCERT Exemplar Grade 9 Science — Is Matter Around Us Pure,41,0,False,93,99,94,48,0,41,37,0,2026-07-10T06:23:36.680612+00:00
949,Grade 9,Science,Exemplar: Matter in Our Surroundings,NCERT Exemplar Grade 9 Science — Matter in Our Surroundings,23,0,False,93,100,95,48,0,23,16,0,2026-07-10T06:23:36.926228+00:00
948,Grade 9,Maths,Exemplar: Coordinate Geometry (Advanced),NCERT Exemplar Grade 9 Maths — Coordinate Geometry (Advanced),37,0,False,93,99,95,49,0,35,30,0,2026-07-10T06:23:37.292591+00:00
947,Grade 9,Maths,Exemplar: Probability,NCERT Exemplar Grade 9 Maths — Probability,39,0,False,93,99,96,49,0,38,28,0,2026-07-10T06:23:37.610830+00:00
946,Grade 9,Maths,Exemplar: Statistics,NCERT Exemplar Grade 9 Maths — Statistics,81,0,False,93,100,96,48,0,81,54,0,2026-07-10T06:23:38.459727+00:00
945,Grade 9,Maths,Exemplar: Surface Areas and Volumes,NCERT Exemplar Grade 9 Maths — Surface Areas and Volumes,31,0,False,93,100,95,53,0,27,28,0,2026-07-10T06:23:38.727258+00:00
944,Grade 9,Maths,Exemplar: Heron's Formula,NCERT Exemplar Grade 9 Maths — Heron's Formula,28,0,False,94,100,94,53,0,27,22,0,2026-07-10T06:23:38.981375+00:00
943,Grade 9,Maths,Exemplar: Constructions,NCERT Exemplar Grade 9 Maths — Constructions,14,0,False,93,100,94,51,0,12,13,0,2026-07-10T06:23:39.168176+00:00
942,Grade 9,Maths,Exemplar: Circles,NCERT Exemplar Grade 9 Maths — Circles,34,0,False,93,100,95,50,0,33,26,0,2026-07-10T06:23:39.481390+00:00
941,Grade 9,Maths,Exemplar: Areas of Parallelograms and Triangles,NCERT Exemplar Grade 9 Maths — Areas of Parallelograms and Triangles,34,0,False,93,100,96,50,0,33,23,0,2026-07-10T06:23:39.763740+00:00
