document_id,grade,subject,chapter,title,chunk_count,flagged_count,has_pdf_source,avg_overall,avg_completeness,avg_boundary,avg_fidelity,critical_findings,high_findings,medium_findings,low_findings,audited_at
1016,Grade 5,English,1. Papa's Spectacles,Santoor English Grade 5 — Papa's Spectacles,2,0,False,98,100,93,100,0,0,2,0,2026-07-10T04:49:22.186536+00:00
901,Grade 5,Maths,Shapes and Angles,Math Magic 5 — Shapes and Angles,7,0,False,92,97,96,52,0,7,7,0,2026-07-10T04:49:22.348725+00:00
900,Grade 5,Maths,The Fish Tale,Math Magic 5 — The Fish Tale,41,0,False,92,99,94,46,0,41,41,0,2026-07-10T04:49:22.662475+00:00
600,Grade 5,EVS,Chapter 10: Earth — Our Shared Home,Grade 5 CBSE EVS Text Book - Chapter 10: Earth — Our Shared Home,15,0,False,96,100,88,100,0,0,26,0,2026-07-10T04:49:22.877898+00:00
599,Grade 5,EVS,Chapter 9: Rhythms of Nature,Grade 5 CBSE EVS Text Book - Chapter 9: Rhythms of Nature,13,0,False,97,100,91,100,0,0,16,0,2026-07-10T04:49:23.143496+00:00
598,Grade 5,EVS,Chapter 8: Clothes — How Things are Made,Grade 5 CBSE EVS Text Book - Chapter 8: Clothes — How Things are Made,11,0,False,96,100,89,100,0,0,17,0,2026-07-10T04:49:23.337650+00:00
597,Grade 5,EVS,Chapter 7: Energy — How Things Work,Grade 5 CBSE EVS Text Book - Chapter 7: Energy — How Things Work,16,0,False,96,100,89,100,0,0,25,0,2026-07-10T04:49:23.559844+00:00
596,Grade 5,EVS,Chapter 6: Some Unique Places,Grade 5 CBSE EVS Text Book - Chapter 6: Some Unique Places,14,0,False,96,100,88,100,0,0,24,0,2026-07-10T04:49:23.782818+00:00
595,Grade 5,EVS,Chapter 5: Our Vibrant Country,Grade 5 CBSE EVS Text Book - Chapter 5: Our Vibrant Country,16,0,False,97,100,91,100,0,0,21,0,2026-07-10T04:49:24.078478+00:00
594,Grade 5,EVS,Chapter 4: Our School — A Happy Place,Grade 5 CBSE EVS Text Book - Chapter 4: Our School — A Happy Place,15,0,False,96,100,88,100,0,0,26,0,2026-07-10T04:49:24.306451+00:00
