grade,subject,chapter,step_count,overall_score,completeness_score,formula_quality_score,mcq_quality_score,pedagogy_score,student_flow_score,critical,high,medium,low,audited_at
Grade 11,Accountancy,Bank Reconciliation Statement,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.118285+00:00
Grade 11,Accountancy,Bill of Exchange,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.119129+00:00
Grade 11,Accountancy,"Depreciation, Provisions and Reserves",5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.120303+00:00
Grade 11,Accountancy,Financial Statements – I,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.121336+00:00
Grade 11,Accountancy,Introduction to Accounting,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.122524+00:00
Grade 11,Accountancy,Recording of Transactions – I,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.123488+00:00
Grade 11,Accountancy,Recording of Transactions – II,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.124519+00:00
Grade 11,Accountancy,Theory Base of Accounting,5,94,100,90,80,100,100,0,0,0,0,2026-07-06T13:37:33.125279+00:00
Grade 11,Accountancy,Trial Balance and Rectification of Errors,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.126296+00:00
Grade 11,Biology,Anatomy of Flowering Plants,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.127106+00:00
Grade 11,Biology,Animal Kingdom,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.128287+00:00
Grade 11,Biology,Biological Classification,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.129389+00:00
Grade 11,Biology,Biomolecules,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.130208+00:00
Grade 11,Biology,Body Fluids and Circulation,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.131243+00:00
Grade 11,Biology,Breathing and Exchange of Gases,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.132163+00:00
Grade 11,Biology,Cell Cycle and Cell Division,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.132998+00:00
Grade 11,Biology,Cell: The Unit of Life,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.133996+00:00
Grade 11,Biology,Digestion and Absorption,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.134888+00:00
Grade 11,Biology,Excretory Products and Their Elimination,5,94,100,90,80,98,100,0,0,0,1,2026-07-06T13:37:33.135765+00:00
Grade 11,Biology,Exemplar: Anatomy of Flowering Plants,5,93,95,90,80,100,100,0,0,1,0,2026-07-06T13:37:33.136502+00:00
Grade 11,Biology,Exemplar: Animal Kingdom,5,93,95,90,80,100,100,0,0,1,0,2026-07-06T13:37:33.137433+00:00
