document_id,grade,subject,chapter,title,chunk_count,flagged_count,has_pdf_source,avg_overall,avg_completeness,avg_boundary,avg_fidelity,critical_findings,high_findings,medium_findings,low_findings,audited_at
553,Grade 6,Hindi,13. पेड़ की बात,Grade 6 CBSE Hindi Text Book - 13. पेड़ की बात,21,0,False,98,99,94,100,0,0,21,0,2026-07-10T04:53:41.226890+00:00
552,Grade 6,Hindi,12. हिंद महासागर में छोटा-सा हिंदुस्ान,Grade 6 CBSE Hindi Text Book - 12. हिंद महासागर में छोटा-सा हिंदुस्ान,20,0,False,98,100,95,100,0,0,16,0,2026-07-10T04:53:41.772483+00:00
551,Grade 6,Hindi,11. चेतक की वीरता,Grade 6 CBSE Hindi Text Book - 11. चेतक की वीरता,5,0,False,99,100,96,100,0,0,3,0,2026-07-10T04:53:41.962229+00:00
550,Grade 6,Hindi,10. परीक्ा,Grade 6 CBSE Hindi Text Book - 10. परीक्ा,16,0,False,97,98,94,100,0,0,18,0,2026-07-10T04:53:42.250749+00:00
549,Grade 6,Hindi,9. मैया मैं नमहं माखन खायो,Grade 6 CBSE Hindi Text Book - 9. मैया मैं नमहं माखन खायो,9,0,False,98,100,94,100,0,0,8,0,2026-07-10T04:53:42.452055+00:00
548,Grade 6,Hindi,8. समरिया और मबहू नृत्य,Grade 6 CBSE Hindi Text Book - 8. समरिया और मबहू नृत्य,19,0,False,98,100,94,100,0,0,17,0,2026-07-10T04:53:42.922537+00:00
547,Grade 6,Hindi,7. जलाते चलो,Grade 6 CBSE Hindi Text Book - 7. जलाते चलो,11,0,False,98,100,94,100,0,0,10,0,2026-07-10T04:53:43.152750+00:00
546,Grade 6,Hindi,6. मेरी माँ,Grade 6 CBSE Hindi Text Book - 6. मेरी माँ,11,0,False,97,97,94,100,1,0,9,0,2026-07-10T04:53:43.371444+00:00
545,Grade 6,Hindi,5. रहीम के दोहे,Grade 6 CBSE Hindi Text Book - 5. रहीम के दोहे,6,0,False,98,100,94,100,0,0,5,0,2026-07-10T04:53:43.535336+00:00
544,Grade 6,Hindi,4. हार की जीत,Grade 6 CBSE Hindi Text Book - 4. हार की जीत,11,0,False,98,100,94,100,0,0,9,0,2026-07-10T04:53:43.762784+00:00
